Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-08-16 11:22:30,false,"Santa Cruz County Running","6.92","372","00:43:58","145","166","3.3","160","179","6:21","5:22","49","46","1.00","8.8","8.9","271","50.9% L / 49.1% R","6:15","207","0.0","200","303","6,938","--","No","00:05:51.9","7","--","35","19","44","00:43:50","00:46:15","4","25"
Running,2024-08-13 12:23:38,false,"Santa Cruz County Running","6.54","347","00:45:59","136","166","3.0","151","170","7:02","5:28","57","45","0.94","8.9","8.4","281","51.7% L / 48.3% R","6:53","198","0.0","180","281","6,824","--","No","00:04:19.7","7","--","33","13","43","00:45:48","00:49:14","2","20"
Running,2024-08-07 14:46:31,false,"Santa Cruz Running","5.71","309","00:38:48","136","157","2.8","157","169","6:48","5:24","31","28","0.95","9.2","8.9","274","51.5% L / 48.5% R","6:39","205","0.0","196","313","5,978","--","No","00:05:49.5","6","--","31","19","43","00:38:34","00:49:09","2","16"
Running,2024-08-02 11:16:38,false,"Seattle Running","9.08","508","01:02:29","146","176","3.4","155","172","6:53","5:25","113","110","0.94","9.1","8.8","284","50.7% L / 49.3% R","6:42","212","0.0","197","354","9,512","--","No","00:01:30.1","10","--","33","14","46","01:02:16","01:06:07","12","53"
Trail Running,2024-07-30 13:18:27,false,"King County Trail Running","8.96","552","01:09:58","146","169","3.4","149","182","7:48","4:58","296","293","0.88","9.4","8.3","298","50.5% L / 49.5% R","7:02","197","0.0","183","325","10,192","--","No","00:06:46.6","9","--","33","13","45","01:09:49","01:13:06","295","450"
Running,2024-07-25 17:08:39,false,"Seattle Running","4.99","283","00:29:36","155","174","3.5","160","195","5:56","4:54","64","57","1.07","9.2","9.8","266","--","5:45","242","0.0","232","340","4,778","--","No","00:05:34.8","5","--","--","--","--","00:29:22","00:30:11","1","31"
Running,2024-07-24 11:17:53,false,"Seattle Running","9.31","510","01:00:05","147","171","3.5","159","182","6:27","5:21","98","95","0.98","8.9","8.8","275","51.0% L / 49.0% R","6:17","215","0.0","207","335","9,402","--","No","00:04:02.3","10","--","34","13","43","00:59:53","01:01:20","2","32"
Trail Running,2024-07-12 09:43:16,false,"Seattle Trail Running","9.40","517","01:07:42","137","160","3.2","154","176","7:12","4:46","133","125","0.91","8.4","7.8","282","51.1% L / 48.9% R","6:57","196","0.0","181","313","10,282","--","No","00:03:00.8","10","--","32","15","42","01:07:17","01:21:09","5","59"
Treadmill Running,2024-07-10 15:54:41,false,"Treadmill Running","4.09","205","00:30:12","132","142","2.0","165","171","7:23","7:00","--","--","0.83","10.2","8.4","279","--","--","177","0.0","175","186","4,990","--","No","00:30:12","1","--","--","--","--","00:30:05","00:30:12","--","--"
Running,2024-07-09 10:58:34,false,"Seattle Running","7.98","408","01:13:05","111","161","3.0","130","195","9:09","4:50","40","64","0.83","7.3","6.3","278","51.0% L / 49.0% R","9:00","165","0.0","120","266","9,428","--","No","00:05:51.7","8","--","27","13","44","01:12:53","01:27:31","3","30"
Running,2024-06-27 16:35:14,false,"Seattle Running","6.52","345","00:43:58","135","173","2.9","154","190","6:45","4:23","127","124","0.97","9.6","9.1","275","--","6:24","218","0.0","206","384","6,860","--","No","00:03:52.1","7","--","--","--","--","00:43:44","00:49:11","12","120"
Running,2024-06-25 12:04:20,false,"Seattle Running","11.86","657","01:11:54","159","177","4.1","162","216","6:04","4:33","130","133","1.03","8.4","8.8","275","51.4% L / 48.6% R","5:56","229","0.0","221","338","11,486","--","No","00:05:12.3","12","--","35","14","43","01:11:43","01:13:53","7","53"
